place	latitude	longitude
Strait of Hormuz	26.56667	56.25
Persian Gulf	27	51
Persian Gulf	27	51
Balochistan	28.47849	65.64355
Balochistan	28.47849	65.64355
La France	45.20507	5.74629
La France	45.20507	5.74629
WestBank	49.83521	-119.62532
WestBank	49.83521	-119.62532
Entebbe	0.05621	32.47949
Entebbe	0.05621	32.47949
Uganda	1.25	32.5
Uganda	1.25	32.5
Montreal	45.50884	-73.58781
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Ottawa	45.41117	-75.69812
Toronto	43.70643	-79.39864
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Calgary	51.05011	-114.08529
New York	40.71427	-74.00597
New York	40.71427	-74.00597
Belarus	53	28
Belarus	53	28
Munich	48.13743	11.57549
Munich	48.13743	11.57549
Haifa	32.81841	34.9885
Haifa	32.81841	34.9885
Sidon	33.55751	35.37148
Sidon	33.55751	35.37148
Salamehs	NA	NA
Beiruts	NA	NA
Gazas Deir elBalah	31.41667	34.33333
Gazas Deir elBalah	31.41667	34.33333
alMughraqa	NA	NA
alMaghazi	NA	NA
Maghazi Roads	43.84258	-68.88115
Maghazi Roads	43.84258	-68.88115
Deir alBalah	31.41834	34.34933
Deir alBalah	31.41834	34.34933
Islamic Republic	32	53
Islamic Republic	32	53
Nur Shams	51.1801	71.44598
Nur Shams	51.1801	71.44598
Tulkarem	32.31156	35.0269
Tulkarem	32.31156	35.0269
Naqoura	33.11806	35.13972
Naqoura	33.11806	35.13972
America	26.0173	-104.41406
America	26.0173	-104.41406
Frances	-36.71667	140.96667
Frances	-36.71667	140.96667
El Arish	31.13159	33.79844
El Arish	31.13159	33.79844
Al Jazeeras	14.6	33.35
Al Jazeeras	14.6	33.35
alMawasi	NA	NA
Beiruts Shatila	NA	NA
AlFukhari	NA	NA
Zeitoun	34.06222	35.68528
Zeitoun	34.06222	35.68528
alFukhari	NA	NA
Britain	54	-2
Britain	54	-2
Republic of Yemen	24	121
Republic of Yemen	24	121
Hajjah	15.69425	43.60582
Hajjah	15.69425	43.60582
Ramallah	31.89964	35.20422
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Abwein	32.03144	35.19992
Nablus	32.22111	35.25444
Nablus	32.22111	35.25444
Qalqilya	32.18583	35.06583
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Jericho	31.86667	35.45
Ein alHilweh	32.62899	34.94483
Ein alHilweh	32.62899	34.94483
Basel	47.55839	7.57327
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Jordan Valley	42.97404	-117.0543
Area C	-25.55132	-54.61622
Area C	-25.55132	-54.61622
Kadris	NA	NA
alJiftlik	NA	NA
Farsiya	35.95584	42.96643
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
Areas A	-16.39889	-71.535
Japan	35.68536	139.75309
Japan	35.68536	139.75309
Silicon Valley	37.37	-122.04
Silicon Valley	37.37	-122.04
Netanyahus	NA	NA
West Jerusalem	31.78199	35.21961
West Jerusalem	31.78199	35.21961
Brussels	50.85045	4.34878
Brussels	50.85045	4.34878
League of Arab States	29.75634	-94.97187
League of Arab States	29.75634	-94.97187
West Beirut	51.48653	-0.40583
West Beirut	51.48653	-0.40583
Beiruts Hamra	32.49724	20.79427
Beiruts Hamra	32.49724	20.79427
Hamras	NA	NA
Hamra	31.81088	-8.27151
Hamra	31.81088	-8.27151
West Beirutis	19.38333	-71.21667
West Beirutis	19.38333	-71.21667
Dabbouch	NA	NA
East Beirut	37.02332	-77.36954
East Beirut	37.02332	-77.36954
Austria	47.33333	13.33333
Austria	47.33333	13.33333
Finland	64	26
Finland	64	26
Iceland	65	-18
Iceland	65	-18
Romania	46	25
Romania	46	25
Melbourne Australia	-37.67333	144.84333
Melbourne Australia	-37.67333	144.84333
Melbourne	-37.814	144.96332
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
Sandridge Beach	-37.83931	144.91747
ZIM Ganges	45.06873	-83.54131
ZIM Ganges	45.06873	-83.54131
Australias	NA	NA
Sydney	-33.86785	151.20732
Sydney	-33.86785	151.20732
Brisbane	-27.46794	153.02809
Brisbane	-27.46794	153.02809
Rawaas	NA	NA
Middle East Eye	33.13906	35.85869
Middle East Eye	33.13906	35.85869
Near East	17.97421	-76.80663
Near East	17.97421	-76.80663
Kyiv	50.45466	30.5238
Kyiv	50.45466	30.5238
Houthi	NA	NA
Aqaba	29.52667	35.00778
Aqaba	29.52667	35.00778
Marshall Islands	7.113	171.236
Marshall Islands	7.113	171.236
Aden	12.77944	45.03667
Aden	12.77944	45.03667
Sabra	34.83042	-1.547
Sabra	34.83042	-1.547
Farhana	NA	NA
Abudaqa	NA	NA
IsraelPalestine	NA	NA
Shujayea	NA	NA
Khan Yunis	31.34018	34.30627
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
Mawasi	32.48133	68.85529
Wadi Gaza	15	21.5
Wadi Gaza	15	21.5
Bosnia	44	18
Bosnia	44	18
Sri Lanka	7.75	80.75
Sri Lanka	7.75	80.75
Republic of South Africa	7	21
Republic of South Africa	7	21
Columbia	4	-73.25
Columbia	4	-73.25
Chile	-30	-71
Chile	-30	-71
Chiles	0.81691	-77.93693
Chiles	0.81691	-77.93693
Santiago	-33.45694	-70.64827
Santiago	-33.45694	-70.64827
Taiz province	13.5	44
Taiz province	13.5	44
AlBayda	18.86139	42.07078
AlBayda	18.86139	42.07078
Ashdod	31.79213	34.64966
Ashdod	31.79213	34.64966
Hebrew	NA	NA
X	19.22364	-70.53051
X	19.22364	-70.53051
Spain	40	-4
Spain	40	-4
Madrid	40.4165	-3.70256
Madrid	40.4165	-3.70256
Oman	21	57
Oman	21	57
Charleston	32.77632	-79.93275
Charleston	32.77632	-79.93275
Geneva	46.20222	6.14569
Geneva	46.20222	6.14569
AlAqsa	NA	NA
Zawayda	NA	NA
Beit Hanoon	31.5353	34.53579
Beit Hanoon	31.5353	34.53579
Serbia	44.81892	20.45998
Serbia	44.81892	20.45998
BosniaHerzegovina	NA	NA
Srebrenica	44.10748	19.29669
Srebrenica	44.10748	19.29669
Bani Suheila	31.34337	34.32337
Bani Suheila	31.34337	34.32337
Caesarea	38.73222	35.48528
Caesarea	38.73222	35.48528
Kefar Sava	32.175	34.90694
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Beersheba	31.25181	34.7913
Kiryat Shmona	33.20733	35.57212
Kiryat Shmona	33.20733	35.57212
Blue Line	40.88291	-123.98395
Blue Line	40.88291	-123.98395
Baghdad	33.34058	44.40088
Baghdad	33.34058	44.40088
Middle Eastern	33.13906	35.85869
Middle Eastern	33.13906	35.85869
Welchs	30.23604	-92.82265
Welchs	30.23604	-92.82265
Global South	-34.98943	138.51674
Global South	-34.98943	138.51674
NaksBilal	NA	NA
Beit Lahiya	31.5464	34.49514
Beit Lahiya	31.5464	34.49514
El Amal City Hospital	32.893	0.54839
El Amal City Hospital	32.893	0.54839
Iraqs	NA	NA
Maroun El Ras	33.10381	35.4444
Maroun El Ras	33.10381	35.4444
Rmeish	NA	NA
Miraj	16.8671	74.70146
Miraj	16.8671	74.70146
Tal alHawa	-36.72494	-73.11684
Tal alHawa	-36.72494	-73.11684
zarahsultana	NA	NA
Gisha	-1.744	29.9586
Gisha	-1.744	29.9586
Bani Naim	15.88333	43.78333
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Raanana	32.1836	34.87386
Sderot	31.525	34.59693
Sderot	31.525	34.59693
Nir Am	31.51959	34.58006
Nir Am	31.51959	34.58006
Mefalsim	31.50125	34.5637
Mefalsim	31.50125	34.5637
Hanita	33.08746	35.17364
Hanita	33.08746	35.17364
Mattat	33.04134	35.35858
Mattat	33.04134	35.35858
Margaliot	NA	NA
Adamit	33.07971	35.21103
Adamit	33.07971	35.21103
Zarit	33.09955	35.2889
Zarit	33.09955	35.2889
Malkia	60.75482	24.06197
Malkia	60.75482	24.06197
Herzegovina	43	17.83333
Herzegovina	43	17.83333
Montenegro	42.75	19.25
Montenegro	42.75	19.25
Yugoslavia	44	19.75
Yugoslavia	44	19.75
Moscow	55.75222	37.61556
Moscow	55.75222	37.61556
Pretoria	-25.74486	28.18783
Pretoria	-25.74486	28.18783
Mozambique	-18.25	35
Mozambique	-18.25	35
Bulgaria	42.66667	25.25
Bulgaria	42.66667	25.25
Shadis	NA	NA
Ebel elSaqi	33.35667	35.62639
Ebel elSaqi	33.35667	35.62639
Panjgur	26.75	64
Panjgur	26.75	64
SistanBaluchestan province	28.5	60.5
SistanBaluchestan province	28.5	60.5
Islamic Republic of Iran	32	53
Islamic Republic of Iran	32	53
Ocean Jazz	-10	70
Ocean Jazz	-10	70
Cape of Good Hope	37.52777	-108.02785
Cape of Good Hope	37.52777	-108.02785
alWalaja	NA	NA
Gilo	-7.45	-40.83333
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
Har Gilo	31.72119	35.1724
Singapore	1.36667	103.8
Singapore	1.36667	103.8
Ras Issa	34.11528	35.72278
Ras Issa	34.11528	35.72278
Hodeidah province	20.75	-75.91667
Hodeidah province	20.75	-75.91667
Dearborn	42.32226	-83.17631
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Michigan	44.25029	-85.50033
Mackinac Island	43.68897	-70.2331
Mackinac Island	43.68897	-70.2331
Great Lakes	26.50687	127.94581
Great Lakes	26.50687	127.94581
Lake Michigan	44.00778	-86.75698
Lake Michigan	44.00778	-86.75698
Texas	31.25044	-99.25061
Texas	31.25044	-99.25061
Beit Nabala	31.5464	34.49514
Beit Nabala	31.5464	34.49514
Idlib	35.93062	36.63393
Idlib	35.93062	36.63393
Riyadh	24.68773	46.72185
Riyadh	24.68773	46.72185
Alborz	36.01117	50.80956
Alborz	36.01117	50.80956
Southern Africa	-27.11781	22.28027
Southern Africa	-27.11781	22.28027
Bab alMandeb	12.60416	43.33557
Bab alMandeb	12.60416	43.33557
Venezuela	8	-66
Venezuela	8	-66
Hormuz	27.5026	54.2839
Hormuz	27.5026	54.2839
Arabian Gulf	26.35058	50.16805
Arabian Gulf	26.35058	50.16805
Dublin	53.33306	-6.24889
Dublin	53.33306	-6.24889
Al Rayyan	25.29194	51.42444
Al Rayyan	25.29194	51.42444
Qatars	NA	NA
Cape Town	-33.92584	18.42322
Cape Town	-33.92584	18.42322
South Africansfrom	38.02807	-97.94033
South Africansfrom	38.02807	-97.94033
Africa4Palestine	NA	NA
Western Cape province	40.64575	-79.91382
Western Cape province	40.64575	-79.91382
Chicago	41.85003	-87.65005
Chicago	41.85003	-87.65005
Cyprus	35.00304	32.98791
Cyprus	35.00304	32.98791
Akrotiri	36.35796	25.3976
Akrotiri	36.35796	25.3976
Limassol	34.68406	33.03794
Limassol	34.68406	33.03794
Pashias	NA	NA
Anadolu	39	35
Anadolu	39	35
Nevatim	31.22417	34.88098
Nevatim	31.22417	34.88098
Republic of Cyprus	24	121
Republic of Cyprus	24	121
Dhekelia	35.01667	33.775
Dhekelia	35.01667	33.775
USA	39.76	-98.5
USA	39.76	-98.5
alSaftawi	NA	NA
Detroit	42.33143	-83.04575
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Southeast Michigan	43.96102	-83.71087
Arab America	25	45
Arab America	25	45
Jarrah	24.05	54.1
Jarrah	24.05	54.1
Wayne County	-36.75	175
Wayne County	-36.75	175
Minnesota	46.25024	-94.25055
Minnesota	46.25024	-94.25055
Scotland	56	-4
Scotland	56	-4
Ireland	53	-8
Ireland	53	-8
October7	NA	NA
Entebbe Uganda	0.04239	32.4435
Entebbe Uganda	0.04239	32.4435
Sierra Leone	8.5	-11.5
Sierra Leone	8.5	-11.5
DRC	-17.98192	20.76806
DRC	-17.98192	20.76806
adoniaayebare	NA	NA
Dahiyeb	NA	NA
Aroura	38.92219	-111.93409
Aroura	38.92219	-111.93409
alArouri	NA	NA
Salem	44.9429	-123.0351
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
Copenhagen	55.67594	12.56553
Tunisia	34	9
Tunisia	34	9
Syrias Aleppo	NA	NA
Mariupol	47.09514	37.54131
Mariupol	47.09514	37.54131
Indian Ocean	-10	70
Indian Ocean	-10	70
Kanaker	40.22302	44.53986
Kanaker	40.22302	44.53986
Sarit	35.47569	71.45229
Sarit	35.47569	71.45229
Aleppo	36.20124	37.16117
Aleppo	36.20124	37.16117
Jordans	51.61495	-0.59197
Jordans	51.61495	-0.59197
alTanf	NA	NA
Hashemite Kingdom of Jordan	31	36
Hashemite Kingdom of Jordan	31	36
Jordan River	31	36
Jordan River	31	36
Palestine_UN	NA	NA
Indias Basmati	37.38469	-5.99304
Indias Basmati	37.38469	-5.99304
North America	46.07323	-100.54688
North America	46.07323	-100.54688
Central Gaza Strip	-2.02107	24.69727
Central Gaza Strip	-2.02107	24.69727
Earth	0	0
Earth	0	0
alAmal	31.39064	37.3146
alAmal	31.39064	37.3146
alNasser	NA	NA
alKatiba	NA	NA
Tel Avivs	32.08088	34.78057
Tel Avivs	32.08088	34.78057
Rohtak	28.89447	76.58917
Rohtak	28.89447	76.58917
Haryana	29.25	76.33333
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
Lucknow	26.83928	80.92313
UP	43.62841	6.22477
UP	43.62841	6.22477
Bihar	25.75	85.75
Bihar	25.75	85.75
West Bengal	19.38333	-71.21667
West Bengal	19.38333	-71.21667
Benarasiyaa	NA	NA
Haryanas Panipat	NA	NA
Thailand	15.5	101
Thailand	15.5	101
Haryanas Jind	NA	NA
Al Maniya	41	20
Al Maniya	41	20
Egypts	NA	NA
Bab al	35.26943	69.68085
Bab al	35.26943	69.68085
Mandeb Strait	4	100
Mandeb Strait	4	100
alMazraa Asharqiya	NA	NA
Harvey	41.61003	-87.64671
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
Tawfiq	33.01842	44.38071
Hamoud	15.64004	-11.51864
Hamoud	15.64004	-11.51864
Taalbaya	NA	NA
Rashidiya	25.22499	55.38947
Rashidiya	25.22499	55.38947
Karem Abu Salem	30.486	31.60823
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Kerem Shalom	31.22777	34.28459
Estonia	59	26
Estonia	59	26
Indonesia	-5	120
Indonesia	-5	120
Kampala	0.31628	32.58219
Kampala	0.31628	32.58219
Ugandas	NA	NA
Peru	-10	-75.25
Peru	-10	-75.25
Colombia	4	-73.25
Colombia	4	-73.25
South Sudan	7.5	30
South Sudan	7.5	30
Swaziland	-26.5	31.5
Swaziland	-26.5	31.5
RedSea	NA	NA
Chinas	23.85674	-99.45203
Chinas	23.85674	-99.45203
Bern	46.94809	7.44744
Bern	46.94809	7.44744
Zurich	47.36667	8.55
Zurich	47.36667	8.55
Arura	9.8694	76.30498
Arura	9.8694	76.30498
Beruit	NA	NA
Hezbollahs	NA	NA
Deir Qaddis	35.33588	40.14084
Deir Qaddis	35.33588	40.14084
MoTaz	NA	NA
azaizamotaz9	NA	NA
Israels Haifa	41.68181	-70.27889
Israels Haifa	41.68181	-70.27889
Dubai	25.07725	55.30927
Dubai	25.07725	55.30927
Yemens southern coast	NA	NA
Egypts Sinai Peninsula	30.0275	31.765
Egypts Sinai Peninsula	30.0275	31.765
Philadelphi	NA	NA
Dahiya	8.0264	80.533
Dahiya	8.0264	80.533
Jamaa Islamiya	35.46804	-5.70106
Jamaa Islamiya	35.46804	-5.70106
Cameroon	6	12.5
Cameroon	6	12.5
alAhli	NA	NA
Des Moines	41.60054	-93.60911
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Iowa	42.00027	-93.50049
Cedar Rapids	42.00833	-91.64407
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
Iowa City	41.66113	-91.53017
South Asia	21.28937	78.66211
South Asia	21.28937	78.66211
Florida	28.75054	-82.5001
Florida	28.75054	-82.5001
